3,162.0;258.0;370.0,[ 9.09627029 13.18558095];[ 5.99994234 13.99086483];[ 5.85231568 16.01811382],17;16;21,7.0;7.5;7.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,2;18;1, 16
2,142.0;350.0,[ 6.28755208 13.92961064];[ 9.12260677 14.01824414],16;17,8.5;6.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,10;5, 16;17
2,162.0;260.0,[ 9.35743367 13.8975783 ];[ 6.14460967 12.52724618],17;16,6.5;8.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,2;14, 16
1,492.0,[ 9.23364911 13.82126937],17,6.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,1, 
2,344.0;550.0,[9.98220498 1.51655919];[ 4.35049575 13.65600816],2;16,7.0;8.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,1;2, 
1,302.0,[ 4.8277577  13.97299666],16,7.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,31, 16
1,190.0,[ 6.84661341 14.88007568],16,7.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,14, 16
3,64.0;94.0;380.0,[ 4.43812933 13.800842  ];[ 9.34416635 14.37424433];[ 6.22931273 11.51487065],16;17;11,6.5;7.0;8.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,8;2;1, 16
2,36.0;220.0,[ 5.83966847 14.02547741];[ 8.98707843 14.00218386],16;17,6.5;6.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,7;2, 16
2,66.0;214.0,[ 6.26318931 14.38720909];[ 8.72045824 14.04154243],16;17,7.0;6.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,10;8, 16;17
1,302.0,[ 4.83500076 13.95964335],16,7.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,5, 16
1,302.0,[ 4.83500075 13.95964334],16,7.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,5, 16
3,6.0;94.0;468.0,[ 6.24808731 13.25710176];[ 9.28553732 13.73680053];[ 7.24715464 11.09344512],16;17;11,8.5;7.5;7.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,29;5;1, 16;17
3,2.0;94.0;400.0,[ 6.25 14.  ];[ 8.20728578 14.32883342];[ 7.64246392 11.20909532],16;17;11,7.5;7.5;6.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,20;4;1, 16;17
2,36.0;220.0,[ 5.96602094 14.26614947];[ 8.13032805 14.21940444],16;17,6.5;7.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,11;1, 16
2,310.0;550.0,[9.76333907 2.3115315 ];[ 3.62014255 13.86980664],2;15,6.5;7.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,1;1, 
